date,dji,djit
06MAY1960,607.62,
09MAY1960,607.48,
10MAY1960,604.82,
11MAY1960,606.54,
12MAY1960,607.87,
13MAY1960,616.03,
16MAY1960,617.39,
17MAY1960,621.63,
18MAY1960,623,
19MAY1960,624.68,
20MAY1960,625.24,
23MAY1960,623.66,
24MAY1960,621.39,
25MAY1960,621.28,
26MAY1960,622.79,
27MAY1960,624.78,
31MAY1960,625.5,
01JUN1960,624.89,
02JUN1960,627.87,
03JUN1960,628.98,
06JUN1960,636.92,
07JUN1960,645.58,
08JUN1960,650.35,
09JUN1960,656.42,
10JUN1960,654.88,
13JUN1960,655.85,
14JUN1960,654.88,
15JUN1960,649.42,
16JUN1960,648.27,
17JUN1960,650.89,
20JUN1960,647.52,
21JUN1960,644.93,
22JUN1960,645.36,
23JUN1960,647.41,
24JUN1960,647.01,
27JUN1960,642.49,
28JUN1960,637.46,
29JUN1960,638.39,
30JUN1960,640.62,
01JUL1960,641.3,
05JUL1960,640.91,
06JUL1960,640.37,
07JUL1960,644.89,
08JUL1960,646.91,
11JUL1960,640.44,
12JUL1960,634.12,
13JUL1960,632.11,
14JUL1960,631.32,
15JUL1960,630.24,
18JUL1960,626,
19JUL1960,624.78,
20JUL1960,624.13,
21JUL1960,616.63,
22JUL1960,609.87,
25JUL1960,601.68,
26JUL1960,606.75,
27JUL1960,601.76,
28JUL1960,605.67,
29JUL1960,616.73,
01AUG1960,617.85,
02AUG1960,613.68,
03AUG1960,608.69,
04AUG1960,609.23,
05AUG1960,614.29,
08AUG1960,614.79,
09AUG1960,615.69,
10AUG1960,617.52,
11AUG1960,622.88,
12AUG1960,626.18,
15AUG1960,624.17,
16AUG1960,625.43,
17AUG1960,626.54,
18AUG1960,625.82,
19AUG1960,629.27,
22AUG1960,630.71,
23AUG1960,638.29,
24AUG1960,641.56,
25AUG1960,637.16,
26AUG1960,636.13,
29AUG1960,634.46,
30AUG1960,626.4,
31AUG1960,625.99,
01SEP1960,626.1,
02SEP1960,625.22,
06SEP1960,620.85,
07SEP1960,612.27,
08SEP1960,611.42,
09SEP1960,614.12,
12SEP1960,609.35,
13SEP1960,611.79,
14SEP1960,605.69,
15SEP1960,602.69,
16SEP1960,602.18,
19SEP1960,586.76,
20SEP1960,588.2,
21SEP1960,594.26,
22SEP1960,592.15,
23SEP1960,585.2,
26SEP1960,577.14,
27SEP1960,574.81,
28SEP1960,569.08,
29SEP1960,570.59,
30SEP1960,580.14,
03OCT1960,577.81,
04OCT1960,573.15,
05OCT1960,578.88,
06OCT1960,583.69,
07OCT1960,586.42,
10OCT1960,587.31,
11OCT1960,588.75,
12OCT1960,585.83,
13OCT1960,591.49,
14OCT1960,596.48,
17OCT1960,593.34,
18OCT1960,588.75,
19OCT1960,587.01,
20OCT1960,582.69,
21OCT1960,577.55,
24OCT1960,571.93,
25OCT1960,566.05,
26OCT1960,575.18,
27OCT1960,580.95,
28OCT1960,577.92,
31OCT1960,580.36,
01NOV1960,585.24,
02NOV1960,588.23,
03NOV1960,590.82,
04NOV1960,596.07,
07NOV1960,597.63,
09NOV1960,602.25,
10NOV1960,612.01,
11NOV1960,608.61,
14NOV1960,604.8,
15NOV1960,606.87,
16NOV1960,604.77,
17NOV1960,602.18,
18NOV1960,603.62,
21NOV1960,604.54,
22NOV1960,601.1,
23NOV1960,602.47,
25NOV1960,606.47,
28NOV1960,605.43,
29NOV1960,602.4,
30NOV1960,597.22,
01DEC1960,594.56,
02DEC1960,596,
